text,label
"Bom dia, preciso do status do protocolo 123 e segue anexo.","Produtivo"
"Feliz Natal a todos!","Improdutivo"
"Poderiam atualizar o chamado 998? Obrigado.","Produtivo"
"Agradeço o atendimento!","Improdutivo"
"Segue arquivo com documentação para validação.","Produtivo"
"Parabéns pelo excelente trabalho!","Improdutivo"
"Há uma falha no acesso, consigo suporte ainda hoje?","Produtivo"
"Obrigado, apenas confirmando o recebimento.","Improdutivo"
"Solicito informações sobre o prazo da entrega, aguardo retorno.","Produtivo"
"Desejo uma ótima semana a todos!","Improdutivo"
"Preciso resetar minha senha, poderiam me ajudar?","Produtivo"
"Gratidão pelo apoio!","Improdutivo"
"Enviei um arquivo ontem e ainda não recebi confirmação, podem verificar?","Produtivo"
"Oi equipe, só passando para dar um oi.","Improdutivo"
"Estou com dificuldade para acessar a plataforma, aparece erro 403.","Produtivo"
"Muito obrigado pela ajuda, tudo resolvido!","Improdutivo"
"Há pendências financeiras no sistema, poderiam detalhar os valores?","Produtivo"
"Boa tarde, apenas agradecendo pela parceria de sempre.","Improdutivo"
"O sistema está lento desde ontem, precisam verificar com urgência.","Produtivo"
"Desejo a todos um excelente fim de semana.","Improdutivo"
"Preciso de atualização sobre o contrato que enviei semana passada.","Produtivo"
"Bom dia, só queria desejar sucesso a todos no novo projeto!","Improdutivo"
"Segue anexo o relatório solicitado, favor confirmar recebimento.","Produtivo"
"Obrigado por responder rápido, não preciso de mais nada.","Improdutivo"
"Não consigo anexar documentos no portal, poderiam liberar essa função?","Produtivo"
"Parabéns pela apresentação de ontem, ficou ótima!","Improdutivo"
"O boleto do mês ainda não apareceu na área do cliente, podem verificar?","Produtivo"
"Valeu equipe, tudo funcionando bem por aqui!","Improdutivo"
"Favor corrigir o erro no relatório de vendas, está duplicando linhas.","Produtivo"
"Bom dia, desejo muitas bênçãos para todos!","Improdutivo"
"Meu chamado 456 está em aberto há 5 dias, preciso de retorno imediato.","Produtivo"
"Somente agradecendo pela atenção que sempre recebo.","Improdutivo"
"Enviei dados pessoais e não obtive resposta, é urgente.","Produtivo"
"Boa noite, só reforçando meus parabéns pela ótima semana de trabalho.","Improdutivo"
"A senha temporária enviada não funciona, poderiam reenviar?","Produtivo"
"Obrigado, apenas passando para confirmar que recebi a informação.","Improdutivo"
"O sistema está fora do ar desde a manhã, preciso de retorno.","Produtivo"
"Desejo feliz aniversário ao time da AutoU!","Improdutivo"
"Recebi cobrança duplicada, favor verificar e corrigir.","Produtivo"
"Bom dia, estou muito satisfeito com o suporte recebido até agora.","Improdutivo"
"Poderiam atualizar o status do protocolo 2319? Ainda ocorre erro ao emitir a fatura.","Produtivo"
"Feliz aniversário, equipe!","Improdutivo"
"Envio documentos em anexo para validação do cadastro.","Produtivo"
"Apenas para agradecer pelo suporte ontem.","Improdutivo"
"Segue screenshot do erro na autenticação. Podem verificar?","Produtivo"
"Podem reenviar o boleto com novo vencimento?","Produtivo"
"Boas festas e um excelente ano novo!","Improdutivo"
"Podemos agendar quinta às 14h para revisar a proposta?","Produtivo"
"Valeu demais!","Improdutivo"
"Existe alguma atualização sobre o chamado aberto ontem?","Produtivo"
"Oi, tudo bem?","Improdutivo"
"Solicito cancelar a fatura de março por serviço não prestado.","Produtivo"
"Cordialmente, João.","Improdutivo"
"Corrigir valor da nota 5842 de R$ 1.200 para R$ 1.000.","Produtivo"
"Webhook retorna 500; precisamos de suporte.","Produtivo"
"Update status of invoice #987.","Produtivo"
"Reenviar la factura con el anexo correcto.","Produtivo"
"Novidades do mês no blog.","Improdutivo"
"Somente assinatura.","Improdutivo"
"Posicionamento do protocolo 7A2C-55 (suporte faturamento).","Produtivo"
"Laudo para análise e validação.","Produtivo"
"Remarcar reunião para terça às 10h.","Produtivo"
"Liberar acesso para o usuário jpedro.","Produtivo"
"Agradeço a parceria e bom fim de semana.","Improdutivo"
